Equipo,Edad
East Germany-1,24.970588235294116
East Germany-2,24.21951219512195
East Germany-3,18.666666666666668
Ecuador,25.53181818181818
Edelweiss II-1,35.333333333333336
Egypt,25.377966101694916
Eissero VI,40.5
El Salvador,24.866197183098592
Eleda,27.857142857142858
Elisabeth V,28.666666666666668
Elisabeth X,29.6
Elsie,31.0
Emily,34.0
Encore,32.333333333333336
England,27.272727272727273
England-1,25.181818181818183
Enotria,35.0
Equatorial Guinea,23.176470588235293
Eritrea,24.829268292682926
Erna Signe,28.8
Escapade,25.0
Espadarte,36.0
Espardate,32.5
Esperia,29.4
Espuma del Mar,39.25
Essen,21.0
Esterel-1,44.0
Estonia,25.684684684684683
Ethiopia,24.25986842105263
Ethnikos Gymnastikos Syllogos,10.0
Evita VI,38.0
Fada,35.5
Falcon IV,30.0
Falcon VI,26.0
Faneca,39.0
Fantasio III,21.5
Faroe Islands,45.0
Favorite Hammonia-3,25.5
Favorite-17,48.666666666666664
Federated States of Micronesia,23.846153846153847
Femur-18,24.0
Feo,28.4
Fiji,25.758823529411764
Finland,26.627169359664872
Finn II,32.0
Firebird II,27.0
Formosa,29.0
Fornebo,30.5
Fortuna,36.0
Foxhunters Hurlingham,36.6
Fram,30.6
Fram III,29.0
France,26.754599490517972
France-1,29.426966292134832
France-2,26.5125
France-3,22.857142857142858
France-4,26.0
Frankfurt Club,23.5
Freddy,46.0
Freia-19,38.0
Freja,34.666666666666664
Frieda,21.6
Frip IV,39.5
Fruits,30.5
Gabbiano,42.666666666666664
Gabon,24.241935483870968
Galatea II,31.333333333333332
Galejan,30.666666666666668
Galerna,28.0
Gallant,32.0
Gallia II,46.4
Galt Football Club,25.083333333333332
Gambia,23.317073170731707
Gem,43.5
Gem II,27.5
Gem III,31.5
Gem IV,36.0
Gem VII,39.5
Georgia,25.432
Germania II,33.666666666666664
"Germania Ruder Club, Hamburg",20.2
"Germania Ruder Club, Hamburg-2",20.4
Germany,26.81017271430835
Germany-1,28.73076923076923
Germany-2,27.644444444444446
Germany-3,25.7
Germany/United States,24.0
Ghana,23.574750830564785
Gilliatt V,47.0
Girl Pat,32.333333333333336
Giselle-6,34.0
Gitana-21,26.0
Glider,31.0
Glisten,26.5
Great Britain,26.941796154859098
Great Britain-1,28.475409836065573
Great Britain-2,27.016260162601625
Great Britain-3,28.375
Greece,25.817386231038505
Greece-1,23.0
Greece-2,30.5
Greece-3,22.0
Grenada,23.12
Grifo III,28.0
Grifo IV,30.666666666666668
Grifone,34.333333333333336
Gteborgs Roddfrening-2,29.2
Gteborgs Roddklubb-1,24.666666666666668
Guam,25.333333333333332
Guanahani,29.666666666666668
Guatemala,25.50836120401338
Guinea,23.8
Guinea Bissau,25.80952380952381
Guinea-Bissau,27.0
Gullvinge,33.0
Gustel V,30.4
Gustel X,43.0
Gustl XI,47.333333333333336
Guyana,23.85185185185185
Guyoni,36.5
GyoshuII,23.5
Gyrinus-1,29.333333333333332
Haiti,25.011904761904763
Hakahana,41.0
Hamburg,27.0
Hannover,34.0
Harmony,22.0
Hatuey,45.0
Hayama,28.0
Heatherbell,34.857142857142854
Heidelberg,30.0
Heira II,38.44444444444444
Helsingfors R. K.,29.6
Hera-1,35.0
Heroine,47.0
Hi-Hi,35.25
Hilarius,39.0
Hirondelle,50.0
Hojwa,32.0
Holland,21.0
Hollandia,45.5
Honduras,22.906474820143885
Hong Kong,25.88679245283019
"Hong Kong, China",28.0
Hong Kong-1,23.0
Hong Kong-2,22.0
Hornet,24.0
Humbug V,35.5
Hungaria,29.0
Hungaria Evezos Egylet,25.77777777777778
Hungary,25.673668417104277
Hungary-1,24.4
Hungary-2,23.454545454545453
Hurlingham-2,33.0
Iceland,24.40767386091127
Ilderim,29.833333333333332
Impala,36.0
Inca,32.5
Independent Rowing Club-3,26.0
India,25.710064635272392
India-1,35.0
India-2,21.0
Individual Olympic Athletes,25.355263157894736
Indonesia,24.698360655737705
Indonesia-1,25.307692307692307
Indonesia-2,26.576923076923077
Inga-Lill XXXXIII,24.0
Ingegerd,28.5
Iran,25.37560975609756
Iraq,25.05389221556886
Ireland,27.635135135135137
Ireland-1,30.0
Ireland-2,26.571428571428573
Ireland-3,33.666666666666664
Irene,37.2
Islamic Republic of Iran,32.83870967741935
Israel,25.189979123173277
Israel-1,28.5
Israel-2,21.5
Italia,33.5
Italy,26.06207204525156
Italy-1,28.50877192982456
Italy-2,27.033333333333335
Italy-3,18.0
Jamaica,24.673721340388006
Jamaica-1,28.5
Jamaica-2,25.5
Japan,25.135892304893577
Japan-1,26.53846153846154
Japan-2,26.5
Japan-3,22.5
Jest,28.5
Jet,34.333333333333336
Jill,30.666666666666668
Jo,35.333333333333336
Johan,26.75
John B,39.333333333333336
Jordan,25.536585365853657
Joy,28.75
June Climene,41.0
Jupiter,29.5
K Division Metropolitan Police Team-3,33.5
K.S.S.S. 1912-2,27.4
KNS,35.5
Kalayaan,38.333333333333336
Kannibaltje,28.0
Kathleen,42.0
Kazakhstan,25.626262626262626
Kemphaan,33.2
Kenya,25.741506646971935
Kerstin-1,24.666666666666668
Kiel,25.0
Kingfisher,40.0
Kiribati,21.636363636363637
Kitty-1,32.0
Kln,25.0
Knigsberg,37.0
Kon-Tiki,29.0
Konstanz,22.0
Korshun,31.0
Kosovo,23.875
Kristiania Roklub,27.5
Kristiania Roklub-1,25.0
Kuling,33.0
Kullan,27.666666666666668
Kurush II,30.0
Kurush IV,35.75
Kuwait,23.07511737089202
Kyrgyzstan,24.656976744186046
L'Aile VI,37.0
