Edad,Medalla_Oro
13.0,0
14.0,0
15.0,0
16.0,1
17.0,2
18.0,7
19.0,9
20.0,18
21.0,23
22.0,28
23.0,36
24.0,43
25.0,41
26.0,48
27.0,27
28.0,25
29.0,20
30.0,22
31.0,14
32.0,14
33.0,6
34.0,11
35.0,10
36.0,5
37.0,2
38.0,4
39.0,3
40.0,3
41.0,0
42.0,0
43.0,1
44.0,0
45.0,1
46.0,0
47.0,0
48.0,0
49.0,1
50.0,0
51.0,0
52.0,0
53.0,0
54.0,0
55.0,0
56.0,0
57.0,0
58.0,0
59.0,0
60.0,0
61.0,0
62.0,0
64.0,0
65.0,0
69.0,0
81.0,0
