Nombre,Genero,Medallas
Antonio Ruz,Masculino,0
"Antonio Telsforo ""Tony"" Pieda",Masculino,0
Apolonio Castillo Daz,Masculino,0
Arantxa Elizabeth Chvez Muz,Femenino,0
Arcadio Padilla Romero,Masculino,0
Ariadna Medina,Femenino,0
Ariel Mauricio Flores Gmez,Masculino,0
Armando Alfonso Gonzlez,Masculino,0
Armando Barriguete,Masculino,0
Armando Bauche,Masculino,0
Armando Castro,Masculino,0
Armando Chvez,Masculino,0
Armando Fernndez Alatorre,Masculino,0
Armando Fernndez Garca,Masculino,0
Armando Herrera Montoya,Masculino,0
Armando Martnez,Masculino,0
Armando Romero Gil,Masculino,0
Armando Valles Montaez,Masculino,0
Arnoldo Rbago Preciado,Masculino,0
Arnulfo Hernndez,Masculino,0
Arturo Alfonso Gonzlez Gonzlez,Masculino,0
Arturo Barrios Flores,Masculino,0
Arturo Bravo,Masculino,0
Arturo Coste Albaradejo,Masculino,0
Arturo Delgado Nogales,Masculino,0
Arturo Esteban Martnez Rivera,Masculino,0
Arturo Ferrer,Masculino,0
Arturo Figueroa Morales,Masculino,0
Arturo Garca Cruz,Masculino,0
Arturo Garca Tapia,Masculino,0
Arturo Guerrero Moreno,Masculino,0
Arturo Gutirrez,Masculino,0
Arturo Malaquias Delgado,Masculino,0
Arturo Perez Prez Vertti Ferrer,Masculino,0
Arturo Valencia Cadena,Masculino,0
Arturo Villanueva,Masculino,0
Aurelio Terrazas,Masculino,0
Aurora Gonzala Bretn Gmez,Femenino,0
Avelino Sobern,Masculino,0
Aytch Greer Skousen Spilsbury,Masculino,1
Azul Lizeth Almazn Lpez,Femenino,0
BARAJAS BARAJAS Edgar Ismael,Male,0
BARCENAS Perla Patricia,Female,0
Bardomiano Viveros Gutirrez,Masculino,0
Beatriz Camuas,Femenino,0
Belem Guerrero Mndez,Femenino,1
Benito Contreras,Masculino,0
Benito Ramos Ramos,Masculino,0
Benjamn Vencar Paredes Martnez,Masculino,0
Berenice Guzmn Cano,Femenino,0
Bernadette Pujals Cavallo,Femenino,0
Bernardo Olvera Gonzlez,Masculino,0
Bernardo Segura Rivera,Masculino,1
Bertha Baraldi Briseo,Femenino,0
Bibiana Candelas Ramrez,Femenino,0
Blanca Garca,Femenino,0
Blanca Isabel Delgado Plancarte,Femenino,0
Blanca Jaime,Femenino,0
Blanca Luz Barrn Serrano,Femenino,0
Bredni Roque Mendoza,Masculino,0
Brenda Eunice Flores Muoz,Femenino,0
Brenda Vianey Magaa Almaral (-Moya),Femenino,0
CAMACHO RAMIREZ Angel de Jesus,Male,1
CASTILLO CASTILLO Jose de Jesus,Male,0
CASTORENA Arnulfo,Male,1
CASTRO CASTRO Rosa Carolina,Female,1
CERVANTES GARCIA Juan Pablo,Male,1
CHESSANI GARCIA Jose Rodolfo,Male,1
CORAZA CASTANEDA Diana Laura,Female,0
CRISTINO ZAPATA Stefanny Rubi,Female,0
Camilo Romero Mora,Masculino,0
Carlos A. Garces,Masculino,0
Carlos Acosta,Masculino,0
Carlos Aguirre,Masculino,0
Carlos Albert Llorente,Masculino,0
Carlos Alberto Martnez,Masculino,0
Carlos Arena,Masculino,0
Carlos Armando Girn Gutirrez,Masculino,1
Carlos Arnoldo Salcido Flores,Masculino,1
Carlos Barron,Masculino,0
Carlos Borja Morca,Masculino,1
Carlos Braniff Corneso,Masculino,0
Carlos Caldern,Masculino,0
Carlos Casar Fernndez,Masculino,0
Carlos Castro Sedano,Masculino,0
Carlos Cordero Gmez,Masculino,0
Carlos Eduardo Fierro Guerrero,Masculino,0
Carlos Ernesto Cisneros Barajas,Masculino,0
Carlos Fernando Guerra Arias,Masculino,0
Carlos Garca Cuevas,Masculino,0
Carlos Garcs,Masculino,0
Carlos Gonzlez Ferrer,Masculino,0
Carlos Graeff Aguilar,Masculino,0
Carlos Guerrero Martnez,Masculino,0
Carlos Helario Mejia,Masculino,0
Carlos Huttich Moreno,Masculino,0
Carlos Joel Rodrguez Luviano,Masculino,0
Carlos Joel Salcedo Hernndez,Masculino,0
Carlos Jos Gutirrez Padilla,Masculino,0
Carlos Lorenzo Maueco,Masculino,0
Carlos Lpez de Silanes Molina,Masculino,0
Carlos Mario Quintanar Rohana,Masculino,0
Carlos Mercenario Carbajal,Masculino,1
Carlos Mier y Tern,Masculino,0
Carlos Monges Caldera,Masculino,0
Carlos Morfn Nez,Masculino,0
Carlos Orellana,Masculino,0
Carlos Prendes Via,Masculino,0
Carlos Pruneda Fernndez,Masculino,0
Carlos Rodrguez Guerrero,Masculino,0
Carlos Romero Cruz,Masculino,0
Carlos Romo,Masculino,0
Carlos Rtiz Gutirrez,Masculino,0
Carlos Rubn Navarro Valdez,Masculino,0
Carlos T. Curiel Galvn,Masculino,0
Carlos Thompson Durand,Masculino,0
Carlos de Anda Dominguez,Masculino,0
Carlota Ros Laurenzana,Femenino,0
Carolina Mendoza,Femenino,0
Carolina Mendoza Hernndez,Femenino,0
Carolina Rodrguez Gutirrez,Femenino,0
Cecilia Gabriela Prez Flores,Femenino,0
Ceferino Estrada Saucillo,Masculino,0
Cenobio Ruiz,Masculino,0
Cesare Alejandro Snchez Ruz,Masculino,0
Cesreo Victorino Ramrez,Masculino,0
Charetzeni Susana Escobar Torres,Femenino,0
Christian Alexander Schurr Voight,Masculino,0
Chus Cortina,Femenino,0
Ciro Chapa,Masculino,0
