Equipo,Juegos,Año,Medalla_Oro
Czech Republic,1996 Verano,1996-01-01,4
Czech Republic,1998 Invierno,1998-01-01,21
Czech Republic,2000 Verano,2000-01-01,2
Czech Republic,2002 Invierno,2002-01-01,1
Czech Republic,2004 Verano,2004-01-01,1
Czech Republic,2006 Invierno,2006-01-01,1
Czech Republic,2008 Verano,2008-01-01,3
Czech Republic,2010 Invierno,2010-01-01,2
Czech Republic,2012 Verano,2012-01-01,4
Czech Republic,2014 Invierno,2014-01-01,2
Czech Republic,2016 Verano,2016-01-01,1
Czech Republic,2020 Verano,2020-01-01,2
Czech Republic-1,1994 Invierno,1994-01-01,0
Czech Republic-1,1996 Verano,1996-01-01,0
Czech Republic-1,1998 Invierno,1998-01-01,0
Czech Republic-1,2000 Verano,2000-01-01,0
Czech Republic-1,2002 Invierno,2002-01-01,0
Czech Republic-1,2004 Verano,2004-01-01,0
Czech Republic-1,2006 Invierno,2006-01-01,0
Czech Republic-1,2008 Verano,2008-01-01,0
Czech Republic-1,2010 Invierno,2010-01-01,0
Czech Republic-1,2012 Verano,2012-01-01,0
Czech Republic-1,2016 Verano,2016-01-01,0
Czech Republic-2,1994 Invierno,1994-01-01,0
Czech Republic-2,1996 Verano,1996-01-01,0
Czech Republic-2,1998 Invierno,1998-01-01,0
Czech Republic-2,2000 Verano,2000-01-01,0
Czech Republic-2,2002 Invierno,2002-01-01,0
Czech Republic-2,2004 Verano,2004-01-01,0
Czech Republic-2,2006 Invierno,2006-01-01,0
Czech Republic-2,2008 Verano,2008-01-01,0
Czech Republic-2,2010 Invierno,2010-01-01,0
Czech Republic-2,2012 Verano,2012-01-01,0
Czech Republic-2,2016 Verano,2016-01-01,0
Czechoslovakia,1920 Verano,1920-01-01,0
Czechoslovakia,1924 Invierno,1924-01-01,0
Czechoslovakia,1924 Verano,1924-01-01,1
Czechoslovakia,1928 Invierno,1928-01-01,0
Czechoslovakia,1928 Verano,1928-01-01,2
Czechoslovakia,1932 Invierno,1932-01-01,0
Czechoslovakia,1932 Verano,1932-01-01,1
Czechoslovakia,1936 Invierno,1936-01-01,0
Czechoslovakia,1936 Verano,1936-01-01,5
Czechoslovakia,1948 Invierno,1948-01-01,0
Czechoslovakia,1948 Verano,1948-01-01,14
Czechoslovakia,1952 Invierno,1952-01-01,0
Czechoslovakia,1952 Verano,1952-01-01,11
Czechoslovakia,1956 Invierno,1956-01-01,0
Czechoslovakia,1956 Verano,1956-01-01,1
Czechoslovakia,1960 Invierno,1960-01-01,0
Czechoslovakia,1960 Verano,1960-01-01,4
Czechoslovakia,1964 Invierno,1964-01-01,0
Czechoslovakia,1964 Verano,1964-01-01,5
Czechoslovakia,1968 Invierno,1968-01-01,1
Czechoslovakia,1968 Verano,1968-01-01,7
Czechoslovakia,1972 Invierno,1972-01-01,1
Czechoslovakia,1972 Verano,1972-01-01,2
Czechoslovakia,1976 Invierno,1976-01-01,0
Czechoslovakia,1976 Verano,1976-01-01,2
Czechoslovakia,1980 Invierno,1980-01-01,0
Czechoslovakia,1980 Verano,1980-01-01,17
Czechoslovakia,1984 Invierno,1984-01-01,0
Czechoslovakia,1988 Invierno,1988-01-01,0
Czechoslovakia,1988 Verano,1988-01-01,3
Czechoslovakia,1992 Invierno,1992-01-01,0
Czechoslovakia,1992 Verano,1992-01-01,4
Czechoslovakia-1,1920 Verano,1920-01-01,0
Czechoslovakia-1,1924 Verano,1924-01-01,0
Czechoslovakia-1,1936 Invierno,1936-01-01,0
Czechoslovakia-1,1964 Invierno,1964-01-01,0
Czechoslovakia-1,1968 Invierno,1968-01-01,0
Czechoslovakia-1,1972 Verano,1972-01-01,0
Czechoslovakia-1,1992 Invierno,1992-01-01,0
Czechoslovakia-1,1992 Verano,1992-01-01,0
Czechoslovakia-2,1924 Verano,1924-01-01,0
Czechoslovakia-2,1936 Invierno,1936-01-01,0
Czechoslovakia-2,1964 Invierno,1964-01-01,0
Czechoslovakia-2,1968 Invierno,1968-01-01,0
Czechoslovakia-2,1972 Verano,1972-01-01,0
Czechoslovakia-2,1992 Invierno,1992-01-01,0
Czechoslovakia-2,1992 Verano,1992-01-01,0
Czechoslovakia-3,1920 Verano,1920-01-01,0
Czechoslovakia-3,1972 Verano,1972-01-01,0
Czechoslovakia-3,1992 Verano,1992-01-01,0
Côte d'Ivoire,2020 Verano,2020-01-01,0
Daisy,1960 Verano,1960-01-01,0
Daisy,1964 Verano,1964-01-01,0
Damoiselle,1952 Verano,1952-01-01,0
Damoiselle IV,1960 Verano,1960-01-01,0
Danaldo,1960 Verano,1960-01-01,0
Dansk Idrts Forbund,1906 Verano,1906-01-01,0
Danuta,1936 Verano,1936-01-01,0
Danzig,1936 Verano,1936-01-01,0
"Davenport Turngemeinde, Davenport",1904 Verano,1904-01-01,0
DeRuyter,1936 Verano,1936-01-01,0
DeRuyter,1952 Verano,1952-01-01,0
Demi-Mondaine-15,1900 Verano,1900-01-01,0
Demi-Mondaine-17,1900 Verano,1900-01-01,0
Democratic Republic of the Congo,2020 Verano,2020-01-01,0
Denmark,1896 Verano,1896-01-01,1
Denmark,1900 Verano,1900-01-01,1
Denmark,1906 Verano,1906-01-01,14
Denmark,1908 Verano,1908-01-01,0
Denmark,1912 Verano,1912-01-01,0
Denmark,1920 Verano,1920-01-01,26
Denmark,1924 Verano,1924-01-01,2
Denmark,1928 Verano,1928-01-01,6
Denmark,1932 Verano,1932-01-01,0
Denmark,1936 Verano,1936-01-01,0
Denmark,1948 Invierno,1948-01-01,0
Denmark,1948 Verano,1948-01-01,7
Denmark,1952 Invierno,1952-01-01,0
Denmark,1952 Verano,1952-01-01,3
Denmark,1956 Verano,1956-01-01,1
Denmark,1960 Invierno,1960-01-01,0
Denmark,1960 Verano,1960-01-01,2
Denmark,1964 Invierno,1964-01-01,0
Denmark,1964 Verano,1964-01-01,4
Denmark,1968 Invierno,1968-01-01,0
Denmark,1968 Verano,1968-01-01,5
Denmark,1972 Verano,1972-01-01,1
Denmark,1976 Verano,1976-01-01,3
Denmark,1980 Verano,1980-01-01,4
Denmark,1984 Verano,1984-01-01,0
Denmark,1988 Invierno,1988-01-01,0
Denmark,1988 Verano,1988-01-01,3
Denmark,1992 Invierno,1992-01-01,0
Denmark,1992 Verano,1992-01-01,3
Denmark,1994 Invierno,1994-01-01,0
Denmark,1996 Verano,1996-01-01,21
Denmark,1998 Invierno,1998-01-01,0
Denmark,2000 Verano,2000-01-01,18
Denmark,2002 Invierno,2002-01-01,0
Denmark,2004 Verano,2004-01-01,19
Denmark,2006 Invierno,2006-01-01,0
Denmark,2008 Verano,2008-01-01,6
Denmark,2010 Invierno,2010-01-01,0
Denmark,2012 Verano,2012-01-01,3
Denmark,2014 Invierno,2014-01-01,0
Denmark,2016 Verano,2016-01-01,15
Denmark,2020 Verano,2020-01-01,2
Denmark-1,1912 Verano,1912-01-01,0
Denmark-1,1924 Verano,1924-01-01,0
Denmark-1,1992 Verano,1992-01-01,0
Denmark-1,1996 Verano,1996-01-01,0
Denmark-1,2000 Verano,2000-01-01,0
Denmark-1,2004 Verano,2004-01-01,0
Denmark-1,2008 Verano,2008-01-01,0
Denmark-1,2012 Verano,2012-01-01,0
Denmark-2,1912 Verano,1912-01-01,0
Denmark-2,1924 Verano,1924-01-01,0
Denmark-2,1992 Verano,1992-01-01,0
Denmark-2,1996 Verano,1996-01-01,0
Denmark-2,2000 Verano,2000-01-01,0
Denmark-2,2004 Verano,2004-01-01,0
Denmark-2,2008 Verano,2008-01-01,0
Denmark-2,2012 Verano,2012-01-01,0
Denmark-3,1912 Verano,1912-01-01,0
Denmark-4,1912 Verano,1912-01-01,0
Denmark/Sweden,1900 Verano,1900-01-01,6
Deutscher Schwimm Verband Berlin,1900 Verano,1900-01-01,4
Devon and Somerset Wanderers,1900 Verano,1900-01-01,12
Diablo,1964 Verano,1964-01-01,0
Diabolo St Maurice,2008 Verano,2008-01-01,0
Dick-8,1900 Verano,1900-01-01,0
Digby,2008 Verano,2008-01-01,0
Dinah V,1960 Verano,1960-01-01,0
Djibouti,1984 Verano,1984-01-01,0
Djibouti,1988 Verano,1988-01-01,0
Djibouti,1992 Verano,1992-01-01,0
Djibouti,1996 Verano,1996-01-01,0
Djibouti,2000 Verano,2000-01-01,0
Djibouti,2008 Verano,2008-01-01,0
Djibouti,2012 Verano,2012-01-01,0
Djibouti,2016 Verano,2016-01-01,0
Djinn,1948 Verano,1948-01-01,0
Djinn,1952 Verano,1952-01-01,0
Dolfijn,1948 Verano,1948-01-01,0
Dominica,1996 Verano,1996-01-01,0
Dominica,2000 Verano,2000-01-01,0
Dominica,2004 Verano,2004-01-01,0
Dominica,2008 Verano,2008-01-01,0
Dominica,2012 Verano,2012-01-01,0
Dominica,2014 Invierno,2014-01-01,0
Dominica,2016 Verano,2016-01-01,0
Dominican Republic,1964 Verano,1964-01-01,0
Dominican Republic,1968 Verano,1968-01-01,0
Dominican Republic,1972 Verano,1972-01-01,0
Dominican Republic,1976 Verano,1976-01-01,0
Dominican Republic,1980 Verano,1980-01-01,0
Dominican Republic,1984 Verano,1984-01-01,0
Dominican Republic,1988 Verano,1988-01-01,0
Dominican Republic,1992 Verano,1992-01-01,0
Dominican Republic,1996 Verano,1996-01-01,0
Dominican Republic,2000 Verano,2000-01-01,0
Dominican Republic,2004 Verano,2004-01-01,1
Dominican Republic,2008 Verano,2008-01-01,1
Dominican Republic,2012 Verano,2012-01-01,1
Dominican Republic,2016 Verano,2016-01-01,0
Dominican Republic,2020 Verano,2020-01-01,0
Don Schufro,2008 Verano,2008-01-01,0
Donar III,1948 Verano,1948-01-01,0
Dormy-1,1908 Verano,1908-01-01,3
Dow Jones,2008 Verano,2008-01-01,0
Dresden,1936 Verano,1936-01-01,0
Druzhba,1956 Verano,1956-01-01,0
Druzhba,1964 Verano,1964-01-01,0
Ducky-16,1900 Verano,1900-01-01,0
Ducky-4,1900 Verano,1900-01-01,0
Dylan-2,1908 Verano,1908-01-01,0
EA II,1936 Verano,1936-01-01,0
East Germany,1968 Invierno,1968-01-01,0
East Germany,1968 Verano,1968-01-01,13
East Germany,1972 Invierno,1972-01-01,3
East Germany,1972 Verano,1972-01-01,28
East Germany,1976 Invierno,1976-01-01,4
East Germany,1976 Verano,1976-01-01,102
East Germany,1980 Invierno,1980-01-01,10
East Germany,1980 Verano,1980-01-01,115
East Germany,1984 Invierno,1984-01-01,7
East Germany,1988 Invierno,1988-01-01,8
East Germany,1988 Verano,1988-01-01,79
East Germany-1,1968 Invierno,1968-01-01,2
East Germany-1,1972 Invierno,1972-01-01,2
East Germany-1,1972 Verano,1972-01-01,2
East Germany-1,1976 Invierno,1976-01-01,6
East Germany-1,1980 Invierno,1980-01-01,6
East Germany-1,1984 Invierno,1984-01-01,4
East Germany-1,1988 Invierno,1988-01-01,2
East Germany-2,1968 Invierno,1968-01-01,0
East Germany-2,1972 Invierno,1972-01-01,0
East Germany-2,1972 Verano,1972-01-01,0
East Germany-2,1976 Invierno,1976-01-01,2
East Germany-2,1980 Invierno,1980-01-01,0
East Germany-2,1984 Invierno,1984-01-01,2
East Germany-2,1988 Invierno,1988-01-01,0
East Germany-3,1972 Verano,1972-01-01,0
East Germany-3,1976 Invierno,1976-01-01,0
East Germany-3,1984 Invierno,1984-01-01,0
Ecuador,1924 Verano,1924-01-01,0
Ecuador,1968 Verano,1968-01-01,0
Ecuador,1972 Verano,1972-01-01,0
Ecuador,1976 Verano,1976-01-01,0
Ecuador,1980 Verano,1980-01-01,0
Ecuador,1984 Verano,1984-01-01,0
Ecuador,1988 Verano,1988-01-01,0
Ecuador,1992 Verano,1992-01-01,0
Ecuador,1996 Verano,1996-01-01,1
Ecuador,2000 Verano,2000-01-01,0
Ecuador,2004 Verano,2004-01-01,0
Ecuador,2008 Verano,2008-01-01,0
Ecuador,2012 Verano,2012-01-01,0
Ecuador,2016 Verano,2016-01-01,0
Ecuador,2020 Verano,2020-01-01,1
Edelweiss II-1,1920 Verano,1920-01-01,3
Egypt,1906 Verano,1906-01-01,0
Egypt,1920 Verano,1920-01-01,0
Egypt,1924 Verano,1924-01-01,0
Egypt,1928 Verano,1928-01-01,2
Egypt,1936 Verano,1936-01-01,2
Egypt,1948 Verano,1948-01-01,2
Egypt,1952 Verano,1952-01-01,0
Egypt,1956 Verano,1956-01-01,0
Egypt,1964 Verano,1964-01-01,0
Egypt,1968 Verano,1968-01-01,0
Egypt,1972 Verano,1972-01-01,0
Egypt,1976 Verano,1976-01-01,0
Egypt,1984 Invierno,1984-01-01,0
Egypt,1984 Verano,1984-01-01,0
Egypt,1988 Verano,1988-01-01,0
Egypt,1992 Verano,1992-01-01,0
Egypt,1996 Verano,1996-01-01,0
Egypt,2000 Verano,2000-01-01,0
Egypt,2004 Verano,2004-01-01,1
Egypt,2008 Verano,2008-01-01,0
Egypt,2012 Verano,2012-01-01,0
Egypt,2016 Verano,2016-01-01,0
Egypt,2020 Verano,2020-01-01,0
Eissero VI,1952 Verano,1952-01-01,0
El Salvador,1932 Verano,1932-01-01,0
El Salvador,1968 Verano,1968-01-01,0
El Salvador,1972 Verano,1972-01-01,0
El Salvador,1984 Verano,1984-01-01,0
El Salvador,1988 Verano,1988-01-01,0
El Salvador,1992 Verano,1992-01-01,0
El Salvador,1996 Verano,1996-01-01,0
El Salvador,2000 Verano,2000-01-01,0
El Salvador,2004 Verano,2004-01-01,0
El Salvador,2008 Verano,2008-01-01,0
El Salvador,2012 Verano,2012-01-01,0
El Salvador,2016 Verano,2016-01-01,0
El Salvador,2020 Verano,2020-01-01,0
Eleda,1920 Verano,1920-01-01,7
Elisabeth V,1924 Verano,1924-01-01,3
Elisabeth X,1952 Verano,1952-01-01,0
Elsie,1920 Verano,1920-01-01,0
Elvis Va,2008 Verano,2008-01-01,1
Emily,1924 Verano,1924-01-01,0
Encore,1952 Verano,1952-01-01,0
England,1912 Verano,1912-01-01,0
England-1,1908 Verano,1908-01-01,11
England-1,1912 Verano,1912-01-01,0
Enotria,1948 Verano,1948-01-01,0
Equatorial Guinea,1984 Verano,1984-01-01,0
Equatorial Guinea,1988 Verano,1988-01-01,0
Equatorial Guinea,1992 Verano,1992-01-01,0
Equatorial Guinea,1996 Verano,1996-01-01,0
Equatorial Guinea,2000 Verano,2000-01-01,0
Equatorial Guinea,2004 Verano,2004-01-01,0
Equatorial Guinea,2008 Verano,2008-01-01,0
Equatorial Guinea,2012 Verano,2012-01-01,0
Equatorial Guinea,2016 Verano,2016-01-01,0
Eritrea,2000 Verano,2000-01-01,0
Eritrea,2004 Verano,2004-01-01,0
Eritrea,2008 Verano,2008-01-01,0
Eritrea,2012 Verano,2012-01-01,0
Eritrea,2016 Verano,2016-01-01,0
Erna Signe,1912 Verano,1912-01-01,0
Escapade,1952 Verano,1952-01-01,0
Espadarte,1952 Verano,1952-01-01,0
Espardate,1948 Verano,1948-01-01,0
Esperia,1936 Verano,1936-01-01,0
Espuma del Mar,1960 Verano,1960-01-01,0
Espuma del Mar,1964 Verano,1964-01-01,0
Essen,1936 Verano,1936-01-01,0
Esterel-1,1900 Verano,1900-01-01,2
Estonia,1920 Verano,1920-01-01,1
Estonia,1924 Verano,1924-01-01,1
Estonia,1928 Invierno,1928-01-01,0
Estonia,1928 Verano,1928-01-01,2
Estonia,1932 Verano,1932-01-01,0
Estonia,1936 Invierno,1936-01-01,0
Estonia,1936 Verano,1936-01-01,2
Estonia,1992 Invierno,1992-01-01,0
Estonia,1992 Verano,1992-01-01,1
Estonia,1994 Invierno,1994-01-01,0
Estonia,1996 Verano,1996-01-01,0
Estonia,1998 Invierno,1998-01-01,0
Estonia,2000 Verano,2000-01-01,1
Estonia,2002 Invierno,2002-01-01,1
Estonia,2004 Verano,2004-01-01,0
Estonia,2006 Invierno,2006-01-01,3
Estonia,2008 Verano,2008-01-01,1
Estonia,2010 Invierno,2010-01-01,0
Estonia,2012 Verano,2012-01-01,0
Estonia,2014 Invierno,2014-01-01,0
Estonia,2016 Verano,2016-01-01,0
Estonia,2020 Verano,2020-01-01,0
Ethiopia,1956 Verano,1956-01-01,0
Ethiopia,1960 Verano,1960-01-01,1
Ethiopia,1964 Verano,1964-01-01,1
Ethiopia,1968 Verano,1968-01-01,1
Ethiopia,1972 Verano,1972-01-01,0
Ethiopia,1980 Verano,1980-01-01,2
Ethiopia,1992 Verano,1992-01-01,1
Ethiopia,1996 Verano,1996-01-01,2
Ethiopia,2000 Verano,2000-01-01,4
Ethiopia,2004 Verano,2004-01-01,2
Ethiopia,2006 Invierno,2006-01-01,0
Ethiopia,2008 Verano,2008-01-01,4
Ethiopia,2010 Invierno,2010-01-01,0
Ethiopia,2012 Verano,2012-01-01,3
Ethiopia,2016 Verano,2016-01-01,1
Ethiopia,2020 Verano,2020-01-01,1
Ethnikos Gymnastikos Syllogos,1896 Verano,1896-01-01,0
Evita VI,1960 Verano,1960-01-01,0
Fada,1936 Verano,1936-01-01,0
Falcon IV,1956 Verano,1956-01-01,0
Falcon VI,1960 Verano,1960-01-01,0
Faneca,1956 Verano,1956-01-01,0
Faneca,1964 Verano,1964-01-01,0
Fantasio III,1960 Verano,1960-01-01,0
Fantlet-2,1900 Verano,1900-01-01,0
Fantlet-7,1900 Verano,1900-01-01,1
Faroe Islands,2020 Verano,2020-01-01,0
Favorite Hammonia-3,1900 Verano,1900-01-01,0
Favorite-1,1900 Verano,1900-01-01,0
Favorite-17,1900 Verano,1900-01-01,0
Federated States of Micronesia,2000 Verano,2000-01-01,0
Federated States of Micronesia,2004 Verano,2004-01-01,0
Federated States of Micronesia,2008 Verano,2008-01-01,0
Federated States of Micronesia,2012 Verano,2012-01-01,0
Federated States of Micronesia,2016 Verano,2016-01-01,0
Femur-1,1900 Verano,1900-01-01,1
Femur-18,1900 Verano,1900-01-01,0
Feo,1928 Verano,1928-01-01,0
Fiji,1956 Verano,1956-01-01,0
Fiji,1960 Verano,1960-01-01,0
Fiji,1968 Verano,1968-01-01,0
Fiji,1972 Verano,1972-01-01,0
Fiji,1976 Verano,1976-01-01,0
Fiji,1984 Verano,1984-01-01,0
Fiji,1988 Invierno,1988-01-01,0
Fiji,1988 Verano,1988-01-01,0
Fiji,1992 Verano,1992-01-01,0
Fiji,1994 Invierno,1994-01-01,0
Fiji,1996 Verano,1996-01-01,0
Fiji,2000 Verano,2000-01-01,0
Fiji,2002 Invierno,2002-01-01,0
Fiji,2004 Verano,2004-01-01,0
Fiji,2008 Verano,2008-01-01,0
Fiji,2012 Verano,2012-01-01,0
Fiji,2016 Verano,2016-01-01,13
Fiji,2020 Verano,2020-01-01,0
Finland,1906 Verano,1906-01-01,2
Finland,1908 Verano,1908-01-01,1
Finland,1912 Verano,1912-01-01,9
Finland,1920 Verano,1920-01-01,21
Finland,1924 Invierno,1924-01-01,4
Finland,1924 Verano,1924-01-01,24
Finland,1928 Invierno,1928-01-01,2
Finland,1928 Verano,1928-01-01,8
Finland,1932 Invierno,1932-01-01,1
Finland,1932 Verano,1932-01-01,5
Finland,1936 Invierno,1936-01-01,4
Finland,1936 Verano,1936-01-01,8
Finland,1948 Invierno,1948-01-01,1
Finland,1948 Verano,1948-01-01,17
Finland,1952 Invierno,1952-01-01,6
Finland,1952 Verano,1952-01-01,8
Finland,1956 Invierno,1956-01-01,5
Finland,1956 Verano,1956-01-01,3
Finland,1960 Invierno,1960-01-01,5
Finland,1960 Verano,1960-01-01,1
Finland,1964 Invierno,1964-01-01,3
Finland,1964 Verano,1964-01-01,3
Finland,1968 Invierno,1968-01-01,1
Finland,1968 Verano,1968-01-01,1
Finland,1972 Invierno,1972-01-01,0
Finland,1972 Verano,1972-01-01,3
Finland,1976 Invierno,1976-01-01,5
Finland,1976 Verano,1976-01-01,4
Finland,1980 Invierno,1980-01-01,1
Finland,1980 Verano,1980-01-01,3
Finland,1984 Invierno,1984-01-01,4
Finland,1984 Verano,1984-01-01,4
Finland,1988 Invierno,1988-01-01,7
Finland,1988 Verano,1988-01-01,1
Finland,1992 Invierno,1992-01-01,6
Finland,1992 Verano,1992-01-01,1
Finland,1994 Invierno,1994-01-01,0
Finland,1996 Verano,1996-01-01,1
Finland,1998 Invierno,1998-01-01,2
Finland,2000 Verano,2000-01-01,3
Finland,2002 Invierno,2002-01-01,7
Finland,2004 Verano,2004-01-01,0
Finland,2006 Invierno,2006-01-01,0
Finland,2008 Verano,2008-01-01,1
Finland,2010 Invierno,2010-01-01,0
Finland,2012 Verano,2012-01-01,0
Finland,2014 Invierno,2014-01-01,2
Finland,2016 Verano,2016-01-01,0
Finland,2020 Verano,2020-01-01,1
Finland-1,1924 Verano,1924-01-01,0
Finland-2,1924 Verano,1924-01-01,0
Finn II,1912 Verano,1912-01-01,0
Firebird II,1964 Verano,1964-01-01,0
Floresco,2008 Verano,2008-01-01,0
Formosa,1900 Verano,1900-01-01,0
Fornebo,1920 Verano,1920-01-01,0
Fortuna,1952 Verano,1952-01-01,0
Foxhunters Hurlingham,1900 Verano,1900-01-01,5
Fram,1908 Verano,1908-01-01,0
Fram III,1964 Verano,1964-01-01,0
France,1896 Verano,1896-01-01,5
France,1900 Verano,1900-01-01,22
France,1904 Verano,1904-01-01,0
France,1906 Verano,1906-01-01,20
France,1908 Verano,1908-01-01,11
France,1912 Verano,1912-01-01,7
France,1920 Verano,1920-01-01,11
France,1924 Invierno,1924-01-01,0
France,1924 Verano,1924-01-01,37
France,1928 Invierno,1928-01-01,2
France,1928 Verano,1928-01-01,6
France,1932 Invierno,1932-01-01,2
France,1932 Verano,1932-01-01,26
France,1936 Invierno,1936-01-01,0
France,1936 Verano,1936-01-01,13
France,1948 Invierno,1948-01-01,2
France,1948 Verano,1948-01-01,26
France,1952 Invierno,1952-01-01,0
France,1952 Verano,1952-01-01,14
France,1956 Invierno,1956-01-01,0
France,1956 Verano,1956-01-01,7
France,1960 Invierno,1960-01-01,1
France,1960 Verano,1960-01-01,0
France,1964 Invierno,1964-01-01,3
France,1964 Verano,1964-01-01,1
France,1968 Invierno,1968-01-01,4
France,1968 Verano,1968-01-01,12
France,1972 Invierno,1972-01-01,0
France,1972 Verano,1972-01-01,2
France,1976 Invierno,1976-01-01,0
France,1976 Verano,1976-01-01,5
France,1980 Invierno,1980-01-01,0
France,1980 Verano,1980-01-01,18
France,1984 Invierno,1984-01-01,0
France,1984 Verano,1984-01-01,20
France,1988 Invierno,1988-01-01,1
France,1988 Verano,1988-01-01,12
France,1992 Invierno,1992-01-01,5
France,1992 Verano,1992-01-01,9
France,1994 Invierno,1994-01-01,0
France,1996 Verano,1996-01-01,19
France,1998 Invierno,1998-01-01,2
France,2000 Verano,2000-01-01,22
France,2002 Invierno,2002-01-01,3
France,2004 Verano,2004-01-01,21
France,2006 Invierno,2006-01-01,3
France,2008 Verano,2008-01-01,25
France,2010 Invierno,2010-01-01,2
France,2012 Verano,2012-01-01,30
France,2014 Invierno,2014-01-01,4
France,2016 Verano,2016-01-01,20
France,2020 Verano,2020-01-01,16
France-1,1900 Verano,1900-01-01,0
France-1,1908 Verano,1908-01-01,0
France-1,1920 Verano,1920-01-01,0
France-1,1924 Invierno,1924-01-01,0
France-1,1924 Verano,1924-01-01,0
France-1,1928 Invierno,1928-01-01,0
France-1,1936 Invierno,1936-01-01,0
France-1,1948 Invierno,1948-01-01,0
France-1,1952 Invierno,1952-01-01,0
France-1,1956 Invierno,1956-01-01,0
France-1,1968 Invierno,1968-01-01,0
France-1,1972 Invierno,1972-01-01,0
France-1,1976 Invierno,1976-01-01,0
France-1,1988 Invierno,1988-01-01,0
France-1,1992 Invierno,1992-01-01,0
France-1,1992 Verano,1992-01-01,0
France-1,1994 Invierno,1994-01-01,0
France-1,1996 Verano,1996-01-01,2
France-1,1998 Invierno,1998-01-01,0
France-1,2000 Verano,2000-01-01,0
France-1,2002 Invierno,2002-01-01,2
France-1,2004 Verano,2004-01-01,0
France-1,2006 Invierno,2006-01-01,0
France-1,2008 Verano,2008-01-01,0
France-1,2010 Invierno,2010-01-01,0
France-1,2012 Verano,2012-01-01,0
France-1,2014 Invierno,2014-01-01,0
France-1,2016 Verano,2016-01-01,0
France-2,1900 Verano,1900-01-01,0
France-2,1908 Verano,1908-01-01,0
France-2,1920 Verano,1920-01-01,0
France-2,1924 Invierno,1924-01-01,0
France-2,1924 Verano,1924-01-01,0
France-2,1928 Invierno,1928-01-01,0
France-2,1936 Invierno,1936-01-01,0
France-2,1948 Invierno,1948-01-01,0
France-2,1952 Invierno,1952-01-01,0
France-2,1956 Invierno,1956-01-01,0
France-2,1968 Invierno,1968-01-01,0
France-2,1972 Invierno,1972-01-01,0
France-2,1976 Invierno,1976-01-01,0
France-2,1988 Invierno,1988-01-01,0
France-2,1992 Invierno,1992-01-01,0
France-2,1992 Verano,1992-01-01,0
France-2,1994 Invierno,1994-01-01,0
France-2,1996 Verano,1996-01-01,0
France-2,1998 Invierno,1998-01-01,0
France-2,2000 Verano,2000-01-01,0
France-2,2002 Invierno,2002-01-01,0
France-2,2004 Verano,2004-01-01,0
France-2,2006 Invierno,2006-01-01,0
France-2,2008 Verano,2008-01-01,0
France-2,2010 Invierno,2010-01-01,0
France-2,2012 Verano,2012-01-01,0
France-2,2014 Invierno,2014-01-01,0
France-2,2016 Verano,2016-01-01,0
France-3,1900 Verano,1900-01-01,0
France-3,1920 Verano,1920-01-01,2
France-3,1992 Invierno,1992-01-01,0
France-3,1992 Verano,1992-01-01,0
France-3,1998 Invierno,1998-01-01,0
France-4,1900 Verano,1900-01-01,0
France/Great Britain,1900 Verano,1900-01-01,0
Frankfurt Club,1900 Verano,1900-01-01,0
Freddy,1936 Verano,1936-01-01,0
Freia-19,1900 Verano,1900-01-01,0
Freia-5,1900 Verano,1900-01-01,0
Freja,1908 Verano,1908-01-01,0
Frieda,1928 Verano,1928-01-01,0
Frimousse,1900 Verano,1900-01-01,0
Frip IV,1960 Verano,1960-01-01,0
Fruits,1928 Verano,1928-01-01,0
Gabbiano,1960 Verano,1960-01-01,0
Gabon,1972 Verano,1972-01-01,0
Gabon,1984 Verano,1984-01-01,0
Gabon,1988 Verano,1988-01-01,0
Gabon,1992 Verano,1992-01-01,0
Gabon,1996 Verano,1996-01-01,0
Gabon,2000 Verano,2000-01-01,0
Gabon,2004 Verano,2004-01-01,0
Gabon,2008 Verano,2008-01-01,0
Gabon,2012 Verano,2012-01-01,0
Gabon,2016 Verano,2016-01-01,0
Gabon,2020 Verano,2020-01-01,0
Galatea II,1952 Verano,1952-01-01,0
Galejan,1960 Verano,1960-01-01,0
Galerna,1948 Verano,1948-01-01,0
Gallant,1932 Verano,1932-01-01,0
Gallia II,1912 Verano,1912-01-01,0
Galopin De La Font,2008 Verano,2008-01-01,0
Galopin-20,1900 Verano,1900-01-01,0
Galopin-9,1900 Verano,1900-01-01,0
Galt Football Club,1904 Verano,1904-01-01,13
Gam II,1956 Verano,1956-01-01,0
Gambia,1984 Verano,1984-01-01,0
Gambia,1988 Verano,1988-01-01,0
Gambia,1992 Verano,1992-01-01,0
Gambia,1996 Verano,1996-01-01,0
Gambia,2000 Verano,2000-01-01,0
Gambia,2004 Verano,2004-01-01,0
Gambia,2008 Verano,2008-01-01,0
Gambia,2012 Verano,2012-01-01,0
Gambia,2016 Verano,2016-01-01,0
Gambia,2020 Verano,2020-01-01,0
Gem,1964 Verano,1964-01-01,2
Gem II,1948 Verano,1948-01-01,0
Gem III,1952 Verano,1952-01-01,0
Gem IV,1956 Verano,1956-01-01,0
Gem VII,1960 Verano,1960-01-01,0
Georgia,1994 Invierno,1994-01-01,0
Georgia,1996 Verano,1996-01-01,0
Georgia,1998 Invierno,1998-01-01,0
Georgia,2000 Verano,2000-01-01,0
Georgia,2002 Invierno,2002-01-01,0
Georgia,2004 Verano,2004-01-01,2
