Equipo,Juegos,Año,Medalla_Oro
Argentina,1952 Invierno,1952-01-01,0
Argentina,1952 Verano,1952-01-01,2
Argentina,1956 Verano,1956-01-01,0
Argentina,1960 Invierno,1960-01-01,0
Argentina,1960 Verano,1960-01-01,0
Argentina,1964 Invierno,1964-01-01,0
Argentina,1964 Verano,1964-01-01,0
Argentina,1968 Invierno,1968-01-01,0
Argentina,1968 Verano,1968-01-01,0
Argentina,1972 Invierno,1972-01-01,0
Argentina,1972 Verano,1972-01-01,0
Argentina,1976 Invierno,1976-01-01,0
Argentina,1976 Verano,1976-01-01,0
Argentina,1980 Invierno,1980-01-01,0
Argentina,1984 Invierno,1984-01-01,0
Argentina,1984 Verano,1984-01-01,0
Argentina,1988 Invierno,1988-01-01,0
Argentina,1988 Verano,1988-01-01,0
Argentina,1992 Invierno,1992-01-01,0
Argentina,1992 Verano,1992-01-01,0
Argentina,1994 Invierno,1994-01-01,0
Argentina,1996 Verano,1996-01-01,0
Argentina,1998 Invierno,1998-01-01,0
Argentina,2000 Verano,2000-01-01,0
Argentina,2002 Invierno,2002-01-01,0
Argentina,2004 Verano,2004-01-01,28
Argentina,2006 Invierno,2006-01-01,0
Argentina,2008 Verano,2008-01-01,20
Argentina,2010 Invierno,2010-01-01,0
Argentina,2012 Verano,2012-01-01,1
Argentina,2014 Invierno,2014-01-01,0
Argentina,2016 Verano,2016-01-01,21
Argentina,2020 Verano,2020-01-01,0
Argentina-1,1924 Verano,1924-01-01,0
Argentina-1,1928 Invierno,1928-01-01,0
Argentina-1,1964 Invierno,1964-01-01,0
Argentina-1,2000 Verano,2000-01-01,0
Argentina-1,2004 Verano,2004-01-01,0
Argentina-1,2008 Verano,2008-01-01,0
Argentina-1,2016 Verano,2016-01-01,0
Argentina-2,1924 Verano,1924-01-01,0
Argentina-2,1928 Invierno,1928-01-01,0
Argentina-2,1964 Invierno,1964-01-01,0
Argentina-2,2000 Verano,2000-01-01,0
Argentina-2,2004 Verano,2004-01-01,0
Argentina-2,2008 Verano,2008-01-01,0
Argentina-2,2016 Verano,2016-01-01,0
Argeste,1964 Verano,1964-01-01,0
Argo II,1960 Verano,1960-01-01,0
Argonaut Rowing Club,1908 Verano,1908-01-01,0
Argus,1948 Verano,1948-01-01,0
Ariel,1948 Verano,1948-01-01,0
Ariette-10,1900 Verano,1900-01-01,0
Ariette-8,1900 Verano,1900-01-01,0
Armenia,1994 Invierno,1994-01-01,0
Armenia,1996 Verano,1996-01-01,1
Armenia,1998 Invierno,1998-01-01,0
Armenia,2000 Verano,2000-01-01,0
Armenia,2002 Invierno,2002-01-01,0
Armenia,2004 Verano,2004-01-01,0
Armenia,2006 Invierno,2006-01-01,0
Armenia,2008 Verano,2008-01-01,0
Armenia,2010 Invierno,2010-01-01,0
Armenia,2012 Verano,2012-01-01,0
Armenia,2014 Invierno,2014-01-01,0
Armenia,2016 Verano,2016-01-01,1
Armenia,2020 Verano,2020-01-01,0
Aruba,1988 Verano,1988-01-01,0
Aruba,1992 Verano,1992-01-01,0
Aruba,1996 Verano,1996-01-01,0
Aruba,2000 Verano,2000-01-01,0
Aruba,2004 Verano,2004-01-01,0
Aruba,2008 Verano,2008-01-01,0
Aruba,2012 Verano,2012-01-01,0
Aruba,2016 Verano,2016-01-01,0
Aruba,2020 Verano,2020-01-01,0
Aschenbrodel,1900 Verano,1900-01-01,4
Astrid III,1960 Verano,1960-01-01,0
Atalanta Boat Club-1,1904 Verano,1904-01-01,2
Atalanta Boat Club-2,1904 Verano,1904-01-01,0
Athens-2,1906 Verano,1906-01-01,0
Atlanta,1920 Verano,1920-01-01,9
Augsburg,1936 Verano,1936-01-01,0
Ausonia,1948 Verano,1948-01-01,0
Australasia,1908 Verano,1908-01-01,15
Australasia,1912 Verano,1912-01-01,5
Australia,1896 Verano,1896-01-01,2
Australia,1900 Verano,1900-01-01,2
Australia,1904 Verano,1904-01-01,0
