Año,Medalla_Oro
1900,1
1904,2
1906,1
1908,14
1912,3
1920,10
1924,9
1928,19
1932,16
1936,1
1948,13
1952,17
1956,5
1960,1
1964,2
1968,4
1972,0
1976,1
1980,0
1984,21
1988,4
1992,32
1994,3
1996,8
1998,12
2000,4
2002,50
2004,3
2006,30
2008,11
2010,63
2012,1
2014,57
2016,4
2020,4
